,model,displacement,J,postprocessing applied,postprocessed run names
runJS0000000,Frenkel exciton dimer,"{'1': '0.4', '2': '0'}",-800,['trim'],['runJS0000000trim']
runJS0000001,Frenkel exciton dimer,"{'1': '0.4', '2': '0.1'}",-800,['trim'],['runJS0000001trim']
runJS0000002,Frenkel exciton dimer,"{'1': '0.4', '2': '0.2'}",-800,['trim'],['runJS0000002trim']
runJS0000003,Frenkel exciton dimer,"{'1': '0.4', '2': '0.3'}",-800,['trim'],['runJS0000003trim']
runJS0000004,Frenkel exciton dimer,"{'1': '0.4', '2': '0.4'}",-800,['trim'],['runJS0000004trim']
runJS0000005,Frenkel exciton dimer,"{'1': '0.5', '2': '0'}",-800,['trim'],['runJS0000005trim']
runJS0000006,Frenkel exciton dimer,"{'1': '0.5', '2': '0.1'}",-800,['trim'],['runJS0000006trim']
runJS0000007,Frenkel exciton dimer,"{'1': '0.5', '2': '0.2'}",-800,['trim'],['runJS0000007trim']
runJS0000008,Frenkel exciton dimer,"{'1': '0.5', '2': '0.3'}",-800,['trim'],['runJS0000008trim']
runJS0000009,Frenkel exciton dimer,"{'1': '0.5', '2': '0.4'}",-800,['trim'],['runJS0000009trim']
runJS0000010,Frenkel exciton dimer,"{'1': '0.6', '2': '0'}",-800,['trim'],['runJS0000010trim']
runJS0000011,Frenkel exciton dimer,"{'1': '0.6', '2': '0.1'}",-800,['trim'],['runJS0000011trim']
runJS0000012,Frenkel exciton dimer,"{'1': '0.6', '2': '0.2'}",-800,['trim'],['runJS0000012trim']
runJS0000013,Frenkel exciton dimer,"{'1': '0.6', '2': '0.3'}",-800,['trim'],['runJS0000013trim']
runJS0000014,Frenkel exciton dimer,"{'1': '0.6', '2': '0.4'}",-800,['trim'],['runJS0000014trim']
runJS0000015,Frenkel exciton dimer,"{'1': '0.7', '2': '0'}",-800,['trim'],['runJS0000015trim']
runJS0000016,Frenkel exciton dimer,"{'1': '0.7', '2': '0.1'}",-800,['trim'],['runJS0000016trim']
runJS0000017,Frenkel exciton dimer,"{'1': '0.7', '2': '0.2'}",-800,['trim'],['runJS0000017trim']
runJS0000018,Frenkel exciton dimer,"{'1': '0.7', '2': '0.3'}",-800,['trim'],['runJS0000018trim']
runJS0000019,Frenkel exciton dimer,"{'1': '0.7', '2': '0.4'}",-800,['trim'],['runJS0000019trim']
runJS0000020,Frenkel exciton dimer,"{'1': '0.4', '2': '0'}",-700,['trim'],['runJS0000020trim']
runJS0000021,Frenkel exciton dimer,"{'1': '0.4', '2': '0.1'}",-700,['trim'],['runJS0000021trim']
runJS0000022,Frenkel exciton dimer,"{'1': '0.4', '2': '0.2'}",-700,['trim'],['runJS0000022trim']
runJS0000023,Frenkel exciton dimer,"{'1': '0.4', '2': '0.3'}",-700,['trim'],['runJS0000023trim']
runJS0000024,Frenkel exciton dimer,"{'1': '0.4', '2': '0.4'}",-700,['trim'],['runJS0000024trim']
runJS0000025,Frenkel exciton dimer,"{'1': '0.5', '2': '0'}",-700,['trim'],['runJS0000025trim']
runJS0000026,Frenkel exciton dimer,"{'1': '0.5', '2': '0.1'}",-700,['trim'],['runJS0000026trim']
runJS0000027,Frenkel exciton dimer,"{'1': '0.5', '2': '0.2'}",-700,['trim'],['runJS0000027trim']
runJS0000028,Frenkel exciton dimer,"{'1': '0.5', '2': '0.3'}",-700,['trim'],['runJS0000028trim']
runJS0000029,Frenkel exciton dimer,"{'1': '0.5', '2': '0.4'}",-700,['trim'],['runJS0000029trim']
runJS0000030,Frenkel exciton dimer,"{'1': '0.6', '2': '0'}",-700,['trim'],['runJS0000030trim']
runJS0000031,Frenkel exciton dimer,"{'1': '0.6', '2': '0.1'}",-700,['trim'],['runJS0000031trim']
runJS0000032,Frenkel exciton dimer,"{'1': '0.6', '2': '0.2'}",-700,['trim'],['runJS0000032trim']
runJS0000033,Frenkel exciton dimer,"{'1': '0.6', '2': '0.3'}",-700,['trim'],['runJS0000033trim']
runJS0000034,Frenkel exciton dimer,"{'1': '0.6', '2': '0.4'}",-700,['trim'],['runJS0000034trim']
runJS0000035,Frenkel exciton dimer,"{'1': '0.7', '2': '0'}",-700,['trim'],['runJS0000035trim']
runJS0000036,Frenkel exciton dimer,"{'1': '0.7', '2': '0.1'}",-700,['trim'],['runJS0000036trim']
